Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Requested Quantity 2,Pack Quantity 2,Pack Type 2,Digi-Key Part Number 2,Unit Price 2,Extended Price 2,Minimum Order Quantity 2,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Image
1,CRCW060350R0FKEA,Vishay Dale,RES SMD 50 OHM 1% 1/10W 0603,0,Normally Stocking,,1,1,Cut Tape (CT),541-3318-1-ND,0.16000,$0.16,1,,,,,,,,,541-3318-1-ND,99,https://www.vishay.com/docs/20035/dcrcwe3.pdf,,-,,Active,ROHS3 Compliant,EAR99,8533.21.0030,Israel,,541-3318-1-ND,https://media.digikey.com/Renders/Vishay%20Dale%20Renders/CRCW%200603%20%281608metric%29.jpg
2,C0603C472K1GEC7867,KEMET,CAP CER 4700PF 100V C0G/NP0 0603,"3,990",In Stock,,3,3,Cut Tape (CT),399-14206-1-ND,0.43000,$1.29,1,3719,3719,Cut Tape (CT),399-14206-1-ND,0.10497,$390.38,1,,399-14206-1-ND,24,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C0603C472K1GEC7867,,-,,Active,ROHS3 Compliant,EAR99,8532.24.0020,Mexico,,399-14206-1-ND,"https://media.digikey.com/Renders/Kemet%20Renders/0603-(1608-Metric)-1,60x0,80x0,87mm.jpg"
3,CL21B105KAFNNNE,Samsung Electro-Mechanics,CAP CER 1UF 25V X7R 0805,"1,725,027",In Stock,,3,3,Cut Tape (CT),1276-1066-1-ND,0.16000,$0.48,1,15526,14000,Tape & Reel (TR),1276-1066-2-ND,0.01902,$266.28,2000,,1276-1066-1-ND,22,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL21B105KAFNNNE_Spec.pdf,,-,,Active,ROHS3 Compliant,EAR99,8532.24.0020,China,https://www.samsungsem.com/global/support/certificate/product-stewardship.do|https://www.samsungsem.com/files/fileDown.do?key=ed1dfdfa-645e-4252-b707-17f9b1502dd1,1276-1066-1-ND,https://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/Ceramic-Capacitor-CL-Series.jpg
3,CL21B105KAFNNNE,Samsung Electro-Mechanics,CAP CER 1UF 25V X7R 0805,,,,,,,,,,,,1526,Cut Tape (CT),1276-1066-1-ND,0.02615,$39.90,1,,1276-1066-1-ND,,,,,,,,,,,,,
4,C0603C104J4RAC7867,KEMET,CAP CER 0.1UF 16V X7R 0603,"1,090,984",In Stock,,16,16,Cut Tape (CT),399-C0603C104J4RAC7867CT-ND,0.14100,$2.26,1,1900438,1900000,Tape & Reel (TR),399-C0603C104J4RAC7867TR-ND,0.02737,"$52,003.00",4000,,399-1097-1-ND,23,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C0603C104J4RACTU,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8532.24.0020,Mexico,,399-1097-1-ND,"https://media.digikey.com/Renders/Kemet%20Renders/0603-(1608-Metric)-1,60x0,80x0,87mm.jpg"
4,C0603C104J4RAC7867,KEMET,CAP CER 0.1UF 16V X7R 0603,,,,,,,,,,,,438,Cut Tape (CT),399-C0603C104J4RAC7867CT-ND,0.06610,$28.95,1,,399-1097-1-ND,,,,,,,,,,,,,
5,04023A200JAT2A,KYOCERA AVX,CAP CER 20PF 25V C0G/NP0 0402,"3,747",In Stock,,2,2,Cut Tape (CT),478-11740-1-ND,0.43000,$0.86,1,4922,4922,Cut Tape (CT),478-11740-1-ND,0.09706,$477.73,1,,478-11740-1-ND,12,https://datasheets.kyocera-avx.com/C0GNP0-Dielectric.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8532.24.0020,China,,478-11740-1-ND,"https://media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-0,56mm.jpg"
6,GRM188C81C475KE11D,Murata Electronics,CAP CER 4.7UF 16V X6S 0603,"30,007",In Stock,,3,3,Cut Tape (CT),490-13362-1-ND,0.37000,$1.11,1,,,,,,,,,490-13362-1-ND,23,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188C81C475KE11-01.pdf,,-,,Active,ROHS3 Compliant,EAR99,8532.24.0020,Japan,,490-13362-1-ND,"https://media.digikey.com/Renders/Murata%20Renders/0603-(1608-Metric)-0,95mm.jpg"
7,GRM21BC71E106KE11L,Murata Electronics,CAP CER 10UF 25V X7S 0805,"55,108",In Stock,,3,3,Cut Tape (CT),490-10496-1-ND,0.83000,$2.49,1,66009,66000,Tape & Reel (TR),490-10496-2-ND,0.19545,"$12,899.70",3000,,490-10496-1-ND,23,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BC71E106KE11-01.pdf,,-,,Active,ROHS3 Compliant,EAR99,8532.24.0020,Japan,,490-10496-1-ND,"https://media.digikey.com/Renders/Murata%20Renders/0805-(2012-Metric)-1,00mm.jpg"
7,GRM21BC71E106KE11L,Murata Electronics,CAP CER 10UF 25V X7S 0805,,,,,,,,,,,,9,Cut Tape (CT),490-10496-1-ND,0.83000,$7.47,1,,490-10496-1-ND,,,,,,,,,,,,,
8,0430450400,Molex,CONN HEADER R/A 4POS 3MM,"38,531",In Stock,,3,3,Tray,WM1814-ND,2.42000,$7.26,1,26834,26834,Tray,WM1814-ND,1.16711,"$31,318.24",1,,WM1814-ND,8,https://www.molex.com/pdm_docs/ps/PS-43045.pdf,,-,,Active,ROHS3 Compliant,EAR99,8536.69.4040,Mexico,https://www.molex.com/datasheets/rohspdf/0430450400_rohs.pdf,WM1814-ND,https://media.digikey.com/Photos/Molex/0430450400.JPG
9,"PRTR5V0U2X,215",Nexperia USA Inc.,TVS DIODE 5.5VWM SOT143B,"54,478",In Stock,,1,1,Cut Tape (CT),1727-3884-1-ND,0.85000,$0.85,1,531,531,Cut Tape (CT),1727-3884-1-ND,0.42392,$225.10,1,,1727-3884-1-ND,6,https://assets.nexperia.com/documents/data-sheet/PRTR5V0U2X.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8541.10.0080,China,,1727-3884-1-ND,https://media.digikey.com/Renders/Diodes%20Renders/SOT143.jpg
10,B0540W-7-F,Diodes Incorporated,DIODE SCHOTTKY 40V 500MA SOD123,0,Normally Stocking,,3,3,Cut Tape (CT),B0540W-FDICT-ND,0.51000,$1.53,1,,,,,,,,,B0540W-FDICT-ND,52,https://www.diodes.com/assets/Datasheets/B0540W.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8541.10.0070,China,https://www.diodes.com/assets/Quality-Reliability-Docs/Master_CofC.pdf,B0540W-FDICT-ND,https://media.digikey.com/Renders/Diodes%20Renders/31;%20SOD-123;%20;%202.jpg
